status	base_mode	working_mode	base_blob	working_blob	path	upstream_change	default_decision
M	100644	100644	d1baea4af009d9951a4d7f72b559068e2971070b	22ca22a6b2e53ed48bb7dfbd07a0d691f210bb83	migrations/sqlite/000000_init.up.sql	yes:M	three-way-preserve-musuw
A	000000	100644	0000000000000000000000000000000000000000	d01e62ae24113204b648a24dc6d7744fba3222e9	migrations/sqlite/000003_consumer_plan_entitlements.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	342a0c1d41f3fc603eaeaf23b633b787a3e4a30c	migrations/sqlite/000003_consumer_plan_entitlements.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	cd2de130f446fcddb8e0f41449fba2eeb67520d7	migrations/sqlite/000004_openrouter_credit_period.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	db0cdc1f4b7dbb44e849a835bec1387d26c8e7e7	migrations/sqlite/000004_openrouter_credit_period.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	8680817dcb8ba7c9caf2799b520228a2e77a3463	migrations/sqlite/000005_paddle_billing_period.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	251366b3acc285984a0f1fd97d3d66d9e6534c5f	migrations/sqlite/000005_paddle_billing_period.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	c47701b71ebbfeb48c15648864c17ec61f36f1ad	migrations/sqlite/000006_paddle_current_period_end.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	b520a581326c80d8efacbeb30498ce5d7dcf665f	migrations/sqlite/000006_paddle_current_period_end.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	5e010c4c1d3d706f2e5ce37e7179ef13fb30a8ab	migrations/sqlite/000007_paddle_billing_operations.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	d601eb019e6b700cf4cbb9218642159ba259f449	migrations/sqlite/000007_paddle_billing_operations.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	d71602c9bc46dceb18e7709ab523610604d7c35d	migrations/sqlite/000008_consumer_plan_storage_quota.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	79cf2ea684db52f9a1c5f53e276d4c221147505c	migrations/sqlite/000008_consumer_plan_storage_quota.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	43dd3351bd7a83c6a3d4f7a02553cff0b511cdc7	migrations/sqlite/000009_account_erasure_identity.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	0e106185be590304f20dc0ae880c735692e7eaac	migrations/sqlite/000009_account_erasure_identity.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	eef4966a8dc96e8a1b85381c06b37d1b635448d9	migrations/sqlite/000010_paddle_renewal_event_at.down.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	6302325f38f0a10be9e8669fc5dc071311e6bb01	migrations/sqlite/000010_paddle_renewal_event_at.up.sql	no	preserve-local-addition
A	000000	100644	0000000000000000000000000000000000000000	06613f225066639411233c5ffea18425996ffe99	migrations/sqlite/000011_storage_source_usage.down.sql	no	preserve-local-addition
